fecha_captura,Equipo,GF,GC
2026-06-19,Racing Club,17,15
2026-06-19,Instituto,17,17
2026-06-19,Barracas Central,15,15
2026-06-19,Tigre,18,15
2026-06-19,Defensa y Justicia,18,21
2026-06-19,Sarmiento (J),13,20
2026-06-19,Gimnasia y Esgrima (M),14,22
2026-06-19,Banfield,17,19
2026-06-19,Platense,10,15
2026-06-19,Central Córdoba (SdE),11,21
2026-06-19,Newell's Old Boys,15,27
2026-06-19,Atlético Tucumán,15,20
2026-06-19,Deportivo Riestra,5,12
2026-06-19,Aldosivi,6,19
2026-06-19,Estudiantes (RC),5,24
2026-06-20,Independiente Rivadavia,29,15
2026-06-20,Estudiantes (LP),19,7
2026-06-20,Boca Juniors,22,9
2026-06-20,River Plate,22,12
2026-06-20,Argentinos Juniors,17,13
2026-06-20,Vélez Sarsfield,18,12
2026-06-20,Rosario Central,20,16
2026-06-20,Belgrano [n. 1],17,13
2026-06-20,Talleres (C),17,13
2026-06-20,Gimnasia y Esgrima (LP),19,19
2026-06-20,Independiente,24,20
2026-06-20,Lanús,18,15
2026-06-20,Huracán,17,13
2026-06-20,San Lorenzo,14,14
2026-06-20,Unión,24,20
2026-06-20,Racing Club,17,15
2026-06-20,Instituto,17,17
2026-06-20,Barracas Central,15,15
2026-06-20,Tigre,18,15
2026-06-20,Defensa y Justicia,18,21
2026-06-20,Sarmiento (J),13,20
2026-06-20,Gimnasia y Esgrima (M),14,22
2026-06-20,Banfield,17,19
2026-06-20,Platense,10,15
2026-06-20,Central Córdoba (SdE),11,21
2026-06-20,Newell's Old Boys,15,27
2026-06-20,Atlético Tucumán,15,20
2026-06-20,Deportivo Riestra,5,12
2026-06-20,Aldosivi,6,19
2026-06-20,Estudiantes (RC),5,24
2026-06-21,Independiente Rivadavia,29,15
2026-06-21,Estudiantes (LP),19,7
2026-06-21,Boca Juniors,22,9
2026-06-21,River Plate,22,12
2026-06-21,Argentinos Juniors,17,13
2026-06-21,Vélez Sarsfield,18,12
2026-06-21,Rosario Central,20,16
2026-06-21,Belgrano [n. 1],17,13
2026-06-21,Talleres (C),17,13
2026-06-21,Gimnasia y Esgrima (LP),19,19
2026-06-21,Independiente,24,20
2026-06-21,Lanús,18,15
2026-06-21,Huracán,17,13
2026-06-21,San Lorenzo,14,14
2026-06-21,Unión,24,20
2026-06-21,Racing Club,17,15
2026-06-21,Instituto,17,17
2026-06-21,Barracas Central,15,15
2026-06-21,Tigre,18,15
2026-06-21,Defensa y Justicia,18,21
2026-06-21,Sarmiento (J),13,20
2026-06-21,Gimnasia y Esgrima (M),14,22
2026-06-21,Banfield,17,19
2026-06-21,Platense,10,15
2026-06-21,Central Córdoba (SdE),11,21
2026-06-21,Newell's Old Boys,15,27
2026-06-21,Atlético Tucumán,15,20
2026-06-21,Deportivo Riestra,5,12
2026-06-21,Aldosivi,6,19
2026-06-21,Estudiantes (RC),5,24
2026-06-22,Independiente Rivadavia,29,15
2026-06-22,Estudiantes (LP),19,7
2026-06-22,Boca Juniors,22,9
2026-06-22,River Plate,22,12
2026-06-22,Argentinos Juniors,17,13
